25650,Mccatty,18,VILLE DU PONT,25
25650,Thomas,60,VILLE DU PONT,25
25640,Delara,43,VILLERS GRELOT,25
25640,Mclellan,45,VILLERS GRELOT,25
25640,Barnes,59,VILLERS GRELOT,25
25640,Burns,55,VILLERS GRELOT,25
25640,Brown,44,VILLERS GRELOT,25
25640,Monjaras,28,VILLERS GRELOT,25
25640,Houston,47,VILLERS GRELOT,25
25640,Spilman,42,VILLERS GRELOT,25
25640,Davis,40,VILLERS GRELOT,25
26150,Fullilove,42,SOLAURE EN DIOIS,26
26150,Robbins,46,SOLAURE EN DIOIS,26
26150,Henderson,44,SOLAURE EN DIOIS,26
26770,Chin,42,ALEYRAC,26
26770,Scheller,47,ALEYRAC,26
26770,Hood,45,ALEYRAC,26
26770,Loreto,55,ALEYRAC,26
26140,Roja,51,ANDANCETTE,26
26400,Cowan,55,AOUSTE SUR SYE,26
26400,Tucker,52,AOUSTE SUR SYE,26
26400,Zuniga,41,AOUSTE SUR SYE,26
26400,Farver,50,AOUSTE SUR SYE,26
26400,Doyle,46,AOUSTE SUR SYE,26
26400,Castle,57,AOUSTE SUR SYE,26
26400,Gray,48,AOUSTE SUR SYE,26
26110,Houston,54,ARPAVON,26
26110,Thomas,58,ARPAVON,26
26110,Deloach,47,ARPAVON,26
26110,Shapiro,37,ARPAVON,26
26110,Nguyen,42,ARPAVON,26
26110,Ethridge,41,ARPAVON,26
26400,Cowan,55,AUTICHAMP,26
26400,Tucker,52,AUTICHAMP,26
26400,Zuniga,41,AUTICHAMP,26
26400,Farver,50,AUTICHAMP,26
26400,Doyle,46,AUTICHAMP,26
26400,Castle,57,AUTICHAMP,26
26400,Gray,48,AUTICHAMP,26
26120,Yancy,47,BARCELONNE,26
26120,Daigle,52,BARCELONNE,26
26570,Adams,51,BARRET DE LIOURE,26
26570,Gonzalez,47,BARRET DE LIOURE,26
26570,Hernandez,48,BARRET DE LIOURE,26
26150,Fullilove,42,BARSAC,26
26150,Robbins,46,BARSAC,26
26150,Henderson,44,BARSAC,26
26260,Ross,32,BATHERNAY,26
26260,Browning,41,BATHERNAY,26
26260,Samaniego,59,BATHERNAY,26
26790,Kaufman,51,LA BAUME DE TRANSIT,26
26600,Heon,34,BEAUMONT MONTEUX,26
26600,Breitenbach,44,BEAUMONT MONTEUX,26
26600,Griffin,46,BEAUMONT MONTEUX,26
26310,Nero,47,BEAURIERES,26
26310,Oelke,39,BEAURIERES,26
26460,Skinner,49,BEZAUDUN SUR BINE,26
26460,Lima,61,BEZAUDUN SUR BINE,26
26460,Auerswald,40,BEZAUDUN SUR BINE,26
26460,Skinner,49,BOURDEAUX,26
26460,Lima,61,BOURDEAUX,26
26460,Auerswald,40,BOURDEAUX,26
26460,Skinner,49,BOUVIERES,26
26460,Lima,61,BOUVIERES,26
26460,Auerswald,40,BOUVIERES,26
26120,Yancy,47,CHABEUIL,26
26120,Daigle,52,CHABEUIL,26
26470,Smith,37,CHALANCON,26
26310,Nero,47,CHARENS,26
26310,Oelke,39,CHARENS,26
26110,Houston,54,CHATEAUNEUF DE BORDETTE,26
26110,Thomas,58,CHATEAUNEUF DE BORDETTE,26
26110,Deloach,47,CHATEAUNEUF DE BORDETTE,26
26110,Shapiro,37,CHATEAUNEUF DE BORDETTE,26
26110,Nguyen,42,CHATEAUNEUF DE BORDETTE,26
26110,Ethridge,41,CHATEAUNEUF DE BORDETTE,26
26330,Mcdonough,41,CHATEAUNEUF DE GALAURE,26
26410,Flitter,40,CHATILLON EN DIOIS,26
26410,Bauman,41,CHATILLON EN DIOIS,26
26410,Ritschard,43,CHATILLON EN DIOIS,26
26410,Thon,49,CHATILLON EN DIOIS,26
26410,Arana,52,CHATILLON EN DIOIS,26
26410,Plunkett,48,CHATILLON EN DIOIS,26
26410,Mcclellan,47,CHATILLON EN DIOIS,26
26340,Billings,51,LA CHAUDIERE,26
26340,Chitwood,51,LA CHAUDIERE,26
26340,Vegter,59,LA CHAUDIERE,26
26340,Andrade,44,LA CHAUDIERE,26
26270,Holman,47,CLIOUSCLAT,26
26230,Gordon,48,COLONZELLE,26
26230,Sawyer,51,COLONZELLE,26
26230,Wimbush,45,COLONZELLE,26
26400,Cowan,55,CREST,26
26400,Tucker,52,CREST,26
26400,Zuniga,41,CREST,26
26400,Farver,50,CREST,26
26400,Doyle,46,CREST,26
26400,Castle,57,CREST,26
26400,Gray,48,CREST,26
26110,Houston,54,CURNIER,26
26110,Thomas,58,CURNIER,26
26110,Deloach,47,CURNIER,26
26110,Shapiro,37,CURNIER,26
26110,Nguyen,42,CURNIER,26
26110,Ethridge,41,CURNIER,26
26150,Fullilove,42,DIE,26
26150,Robbins,46,DIE,26
26150,Henderson,44,DIE,26
26600,Heon,34,EROME,26
26600,Breitenbach,44,EROME,26
26600,Griffin,46,EROME,26
26340,Billings,51,ESPENEL,26
26340,Chitwood,51,ESPENEL,26
26340,Vegter,59,ESPENEL,26
26340,Andrade,44,ESPENEL,26
26400,Cowan,55,EURRE,26
26400,Tucker,52,EURRE,26
26400,Zuniga,41,EURRE,26
26400,Farver,50,EURRE,26
26400,Doyle,46,EURRE,26
26400,Castle,57,EURRE,26
26400,Gray,48,EURRE,26
26400,Cowan,55,EYGLUY ESCOULIN,26
26400,Tucker,52,EYGLUY ESCOULIN,26
26400,Zuniga,41,EYGLUY ESCOULIN,26
26400,Farver,50,EYGLUY ESCOULIN,26
26400,Doyle,46,EYGLUY ESCOULIN,26
26400,Castle,57,EYGLUY ESCOULIN,26
26400,Gray,48,EYGLUY ESCOULIN,26
26110,Houston,54,EYROLES,26
26110,Thomas,58,EYROLES,26
26110,Deloach,47,EYROLES,26
26110,Shapiro,37,EYROLES,26
26110,Nguyen,42,EYROLES,26
26110,Ethridge,41,EYROLES,26
26310,Nero,47,VAL MARAVEL,26
26310,Oelke,39,VAL MARAVEL,26
26230,Gordon,48,GRIGNAN,26
26230,Sawyer,51,GRIGNAN,26
26230,Wimbush,45,GRIGNAN,26
26210,Hartnett,40,LAPEYROUSE MORNAY,26
26210,Forman,55,LAPEYROUSE MORNAY,26
26600,Heon,34,LARNAGE,26
26600,Breitenbach,44,LARNAGE,26
26600,Griffin,46,LARNAGE,26
26160,Perkins,53,MANAS,26
26160,Reid,49,MANAS,26
26160,Freedman,45,MANAS,26
26740,Eubank,37,MARSANNE,26
26740,Cuadros,44,MARSANNE,26
26400,Cowan,55,MONTCLAR SUR GERVANNE,26
26400,Tucker,52,MONTCLAR SUR GERVANNE,26
26400,Zuniga,41,MONTCLAR SUR GERVANNE,26
26400,Farver,50,MONTCLAR SUR GERVANNE,26
26400,Doyle,46,MONTCLAR SUR GERVANNE,26
26400,Castle,57,MONTCLAR SUR GERVANNE,26
26400,Gray,48,MONTCLAR SUR GERVANNE,26
26170,Shingler,50,MONTGUERS,26
26170,Graham,43,MONTGUERS,26
26230,Gordon,48,MONTJOYER,26
26230,Sawyer,51,MONTJOYER,26
26230,Wimbush,45,MONTJOYER,26
26350,Zamora,20,VALHERBASSE,26
26350,Zamora,20,VALHERBASSE,26
26190,Bernardi,35,ORIOL EN ROYANS,26
26190,Cortes,33,ORIOL EN ROYANS,26
26190,Champion,56,ORIOL EN ROYANS,26
26190,Yoder,57,ORIOL EN ROYANS,26
26750,Summers,43,PARNANS,26
26770,Chin,42,LE PEGUE,26
26770,Scheller,47,LE PEGUE,26
26770,Hood,45,LE PEGUE,26
26770,Loreto,55,LE PEGUE,26
26460,Skinner,49,LE POET CELARD,26
26460,Lima,61,LE POET CELARD,26
26460,Auerswald,40,LE POET CELARD,26
26150,Fullilove,42,PONET ET ST AUBAN,26
26150,Robbins,46,PONET ET ST AUBAN,26
26150,Henderson,44,PONET ET ST AUBAN,26
26160,Perkins,53,PORTES EN VALDAINE,26
26160,Reid,49,PORTES EN VALDAINE,26
26160,Freedman,45,PORTES EN VALDAINE,26
26800,Mccool,34,PORTES LES VALENCE,26
26160,Perkins,53,PUYGIRON,26
26160,Reid,49,PUYGIRON,26
26160,Freedman,45,PUYGIRON,26
26330,Mcdonough,41,RATIERES,26
26190,Bernardi,35,ROCHECHINARD,26
26190,Cortes,33,ROCHECHINARD,26
26190,Champion,56,ROCHECHINARD,26
26190,Yoder,57,ROCHECHINARD,26
26400,Cowan,55,LA ROCHE SUR GRANE,26
26400,Tucker,52,LA ROCHE SUR GRANE,26
26400,Zuniga,41,LA ROCHE SUR GRANE,26
26400,Farver,50,LA ROCHE SUR GRANE,26
26400,Doyle,46,LA ROCHE SUR GRANE,26
26400,Castle,57,LA ROCHE SUR GRANE,26
26400,Gray,48,LA ROCHE SUR GRANE,26
26170,Shingler,50,LA ROCHETTE DU BUIS,26
26170,Graham,43,LA ROCHETTE DU BUIS,26
26450,Green,41,ROYNAC,26
26510,Cowell,37,SAHUNE,26
26510,Christmas,35,SAHUNE,26
26510,Barnes,61,SAHUNE,26
26190,Bernardi,35,ST LAURENT EN ROYANS,26
26190,Cortes,33,ST LAURENT EN ROYANS,26
26190,Champion,56,ST LAURENT EN ROYANS,26
26190,Yoder,57,ST LAURENT EN ROYANS,26
26750,Summers,43,ST MICHEL SUR SAVASSE,26
26750,Summers,43,ST PAUL LES ROMANS,26
26740,Eubank,37,SAVASSE,26
26740,Cuadros,44,SAVASSE,26
